,spectral_dir_accuracy,spectral_mcc,spectral_sharpe,granger_dir_accuracy,granger_mcc,granger_sharpe,dir_winner,mcc_winner,sharpe_winner,iso3,efw_score,efw_tier,efw_multiplier,watchlist_flag,watchlist_boost,recent_events,event_direction_bias,structural_adjustment,stage3_composite,enhanced_composite,composite_delta,enhanced_grade,trade_strength_score,trade_grade,mean_current_account,surplus_years_pct,stability_score,classification,policy_volatility,post_crisis_deviation,full_composite,full_grade
NPR,0.5912596401028277,0.1855708414637081,3.0585,0.4956162970603404,-0.0068231699327817,0.1801,spectral,spectral,spectral,NPL,6.54,good,1.1,improvement,0.15,0,0.0,0.25,0.5851,0.6476,0.0625,A,0.3233,deficit,0.043,0.0,0.6793,volatile_improving,0.2909,-0.1417,0.6479,A
PKR,0.5425233644859813,0.0823133384094321,1.5864,0.511943793911007,0.0291712287944016,0.5991,spectral,spectral,spectral,PAK,5.62,moderate,1.0,none,0.0,1,-1.0,-0.05,0.4759,0.4634,-0.0125,C,0.3273,deficit,-1.658,0.0,0.5797,volatile_improving,0.2997,-0.217,0.4541,C
KWD,0.6486847971466786,0.2979065563127639,3.8414,0.5062555853440572,0.015037249400776,0.1316,spectral,spectral,spectral,KWT,6.49,moderate,1.0,none,0.0,0,0.0,0.0,0.6582,0.6582,0.0,A,0.6911,surplus_moderate,27.627,95.8,0.3554,volatile_improving,0.5092,-0.0482,0.6628,A
DKK,0.8174291938997821,0.634256020716079,9.8274,0.4923547400611621,-0.0154448765911306,-0.4627,spectral,spectral,spectral,DNK,8.02,strong,1.2,improvement,0.15,0,0.0,0.35,0.8086,0.8961,0.0875,S,0.6618,surplus_moderate,5.945,100.0,0.6401,volatile_improving,0.1889,-0.242,0.9263,S
TWD,0.3806676631788739,-0.239772510522926,-1.1541,0.513986013986014,0.0326997969939604,0.8053,granger,granger,granger,TWN,8.03,strong,1.2,improvement,0.15,0,0.0,0.35,0.2385,0.326,0.0875,D,,,,,0.7567,volatile_improving,0.1919,-0.2591,0.3517,D
HKD,0.6049329294677629,0.2063098395854981,3.049,0.4960971379011274,-0.00813586517869,-0.7572,spectral,spectral,spectral,HKG,8.55,strong,1.2,improvement,0.15,0,0.0,0.35,0.5905,0.678,0.0875,A,0.6468,surplus_moderate,7.64,96.0,0.5279,stagnant,0.1199,-0.4092,0.6955,A
SEK,0.8244473342002601,0.6483185594401701,12.1958,0.4965247610773241,-0.0071199067018676,-0.3042,spectral,spectral,spectral,SWE,7.56,strong,1.2,none,0.0,0,0.0,0.2,0.8122,0.8622,0.05,S,0.6549,surplus_moderate,5.252,100.0,0.596,stable_reformer,0.1469,-0.0939,0.8873,S
PHP,0.3955669224211424,-0.2077080166319691,-1.9289,0.5252136752136752,0.0515530337316312,0.7413,granger,granger,granger,PHL,7.05,good,1.1,improvement,0.15,0,0.0,0.25,0.202,0.2645,0.0625,D,0.3668,balanced,0.745,12.0,0.5432,volatile_improving,0.3525,-0.095,0.2555,D
AFN,0.5,-0.0014280381616321,-0.252,0.498108448928121,0.0041243323600419,0.499,spectral,granger,granger,AFG,,unknown,1.0,none,0.0,0,0.0,0.0,0.3497,0.3497,0.0,D,,,,,,,,,0.3497,D
SBD,0.5413223140495868,0.0838584007103298,0.2117,0.5115894039735099,0.0273700005646079,0.0523,spectral,spectral,spectral,SLB,,unknown,1.0,none,0.0,0,0.0,0.0,0.3972,0.3972,0.0,D,0.3009,deficit,-7.757,0.0,,,,,0.3773,D
TZS,0.4501897533206831,-0.1026549520880023,-1.6124,0.533301617507136,0.0694359728537162,1.5952,granger,granger,granger,TZA,6.27,moderate,1.0,none,0.0,0,0.0,0.0,0.2469,0.2469,0.0,D,0.3261,deficit,-5.332,4.0,0.4574,volatile_improving,0.3818,-0.164,0.2253,D
DJF,0.5263157894736842,0.0525557559675389,0.4215,0.554089709762533,0.1210145048467525,0.9765,granger,granger,granger,DJI,6.1,moderate,1.0,none,0.0,2,-1.0,-0.05,0.4015,0.389,-0.0125,D,0.5495,balanced,3.212,75.0,,,,,0.394,D
GNF,0.4890190336749634,-0.0219380626365664,-0.4818,0.4626099706744868,-0.0722401839621686,-1.192,spectral,spectral,spectral,GIN,5.87,moderate,1.0,improvement,0.15,5,0.6,0.18,0.3313,0.3763,0.045,D,0.3223,deficit,-3.116,4.0,0.4506,volatile_improving,0.4211,-0.7742,0.3536,D
SVC,0.4765395894428152,-0.0468898493740318,-0.4237,0.5411764705882353,0.0879110904850338,0.6496,granger,granger,granger,SLV,7.09,good,1.1,improvement,0.15,0,0.0,0.25,0.3283,0.3908,0.0625,D,0.3214,deficit,-3.793,0.0,0.4758,volatile_improving,0.4705,-0.2703,0.3705,D
GYD,0.5122399020807834,0.026004637712812,0.2379,0.4862047823421214,-0.0256313326013188,-0.6208,spectral,spectral,spectral,GUY,5.47,weak,0.9,improvement,0.15,0,0.0,0.05,0.3842,0.3967,0.0125,D,,,,,0.568,volatile_improving,0.3921,-0.3241,0.4035,D
GMD,0.4941896024464832,-0.0121641541026571,0.1685,0.5269607843137255,0.0579912950151995,1.352,granger,granger,granger,GMB,6.93,good,1.1,none,0.0,1,1.0,0.15,0.3709,0.4084,0.0375,D,0.3086,deficit,-4.21,0.0,0.5726,volatile_improving,0.3304,-0.1658,0.3965,D
WST,0.6050679851668727,0.2111552304463205,2.2181,0.4956521739130435,-0.0078576576616471,-0.2109,spectral,spectral,spectral,WSM,,unknown,1.0,none,0.0,0,0.0,0.0,0.5437,0.5437,0.0,B,0.3146,deficit,-4.953,0.0,,,,,0.5252,B
XCD,0.5159663865546219,0.0318372374387707,0.3076,0.5235690235690236,0.0481697789759815,0.6143,granger,granger,granger,ATG,,unknown,1.0,none,0.0,0,0.0,0.0,0.3898,0.3898,0.0,D,,,,,,,,,0.3898,D
LYD,0.5628706998813761,0.1241510739052743,0.1223,0.4524940617577197,-0.0964980363104429,0.0094,spectral,spectral,spectral,LBY,4.8,weak,0.9,improvement,0.15,7,0.143,0.0572,0.4025,0.4168,0.0143,D,0.5886,surplus_moderate,11.538,84.0,0.4384,volatile_improving,0.423,0.988,0.4195,D
BSD,0.4972826086956521,-0.0054644808743169,0.2394,0.4346049046321525,-0.1330057416164453,-0.7213,spectral,spectral,spectral,BHS,6.9,good,1.1,improvement,0.15,2,0.0,0.25,0.3766,0.4391,0.0625,C,0.3548,balanced,-10.089,20.0,0.6284,volatile_improving,0.1513,-0.4424,0.4374,C
AWG,0.4939024390243902,-0.0117718825938069,0.001,0.4449877750611247,-0.1057405588252629,-0.0635,spectral,spectral,spectral,,,unknown,1.0,none,0.0,0,0.0,0.0,0.3613,0.3613,0.0,D,,,,,,,,,0.3613,D
DOP,0.4898688915375447,-0.0218416661582728,0.3753,0.4650746268656716,-0.0719787946971848,-0.73,spectral,spectral,spectral,DOM,7.37,good,1.1,none,0.0,0,0.0,0.1,0.3805,0.4055,0.025,D,0.3347,deficit,-3.061,4.0,0.4229,volatile_improving,0.5121,-0.2506,0.3813,D
BBD,0.4900166389351081,-0.0203531903146619,0.386,0.4528773978315262,-0.0963526951491092,-0.4027,spectral,spectral,spectral,BRB,6.76,good,1.1,improvement,0.15,1,1.0,0.3,0.3813,0.4563,0.075,C,,,,,0.4538,volatile_improving,0.3643,0.1849,0.4517,C
GHS,0.4855769230769231,-0.0222456295750562,-0.0228,0.4894641782059,0.0045947075103678,0.1001,granger,granger,granger,GHA,5.81,moderate,1.0,none,0.0,2,-1.0,-0.05,0.3566,0.3441,-0.0125,D,0.3203,deficit,-5.552,4.0,0.564,volatile_improving,0.4044,-0.3803,0.3325,D
MVR,0.5070052539404554,0.0117564703261651,0.3074,0.475438596491228,-0.0316783047132492,-0.5817,spectral,spectral,spectral,MDV,,unknown,1.0,none,0.0,0,0.0,0.0,0.3851,0.3851,0.0,D,0.3734,balanced,-14.672,36.4,,,,,0.3724,D
BZD,0.4900166389351081,-0.0203531903146619,0.3432,0.4528773978315262,-0.0963526951491092,-0.462,spectral,spectral,spectral,BLZ,5.99,moderate,1.0,improvement,0.15,0,0.0,0.15,0.3789,0.4164,0.0375,D,0.4779,balanced,-6.89,56.0,0.5962,volatile_deteriorating,0.2117,-0.2839,0.4238,C
GIP,0.6991676575505351,0.3993276216123213,5.4615,0.5461584276354973,0.0955075201628524,0.746,spectral,spectral,spectral,,,unknown,1.0,none,0.0,0,0.0,0.0,0.7497,0.7497,0.0,S,,,,,,,,,0.7497,S
HTG,0.4983649444081098,-0.0028124700616341,-0.286,0.5288335517693316,0.0594384407142519,0.8569,granger,granger,granger,HTI,6.01,moderate,1.0,improvement,0.15,2,0.0,0.15,0.3472,0.3847,0.0375,D,0.3268,deficit,-1.705,0.0,0.5492,volatile_improving,0.3162,-0.1622,0.3723,D
MZN,0.4972743791641429,-0.0033330554477074,-0.356,0.5163834951456311,0.0385010051683374,0.1922,granger,granger,granger,MOZ,6.21,moderate,1.0,improvement,0.15,3,0.333,0.1666,0.3428,0.3845,0.0417,D,0.2345,deficit,-21.237,0.0,0.5769,volatile_improving,0.2197,-0.5906,0.3656,D
CRC,0.4588528678304239,-0.084774003712185,-1.3818,0.5245,0.0543501715594206,0.405,granger,granger,granger,CRI,7.85,strong,1.2,improvement,0.15,0,0.0,0.35,0.2644,0.3519,0.0875,D,0.4426,balanced,-3.663,40.0,0.4733,volatile_improving,0.4113,-0.0008,0.3435,D
TTD,0.4853381208856971,-0.0308822201534266,-0.1,0.473621103117506,-0.0536723670223808,-0.4569,spectral,spectral,spectral,TTO,6.65,good,1.1,none,0.0,1,-1.0,0.05,0.351,0.3635,0.0125,D,,,,,0.4138,volatile_improving,0.476,-0.6696,0.3549,D
BIF,0.4736098020735155,-0.0590583034067747,-2.1089,0.4966949952785647,-0.0117043822164173,0.355,granger,granger,granger,BDI,5.01,weak,0.9,none,0.0,6,0.0,-0.1,0.236,0.211,-0.025,D,,,,,0.353,volatile_improving,0.4612,-0.0428,0.1963,D
SCR,0.5114409400123686,0.0224630025154864,0.0732,0.5148698884758365,0.0301837395439632,0.9067,granger,granger,granger,SYC,7.58,strong,1.2,improvement,0.15,5,0.6,0.38,0.3741,0.4691,0.095,C,0.2983,deficit,-12.837,4.0,0.5083,volatile_improving,0.5227,-0.056,0.4498,C
MGA,0.5668586052463211,0.1310954658972452,1.3761,0.482360487491982,-0.0261426958347104,-0.0904,spectral,spectral,spectral,MDG,6.02,moderate,1.0,none,0.0,0,0.0,0.0,0.476,0.476,0.0,C,0.3129,deficit,-6.073,0.0,0.4466,volatile_improving,0.3818,-0.0679,0.4519,C
JMD,0.4836759371221282,-0.0325819373349312,-0.0012,0.4875832828588734,-0.0247669075677953,-0.3674,granger,granger,spectral,JAM,7.46,good,1.1,improvement,0.15,0,0.0,0.25,0.3561,0.4186,0.0625,D,,,,,0.4668,volatile_improving,0.3753,-0.1949,0.4153,D
TOP,0.5989010989010989,0.1981912049048446,2.5331,0.4996938150642988,-0.0004202589537024,0.1586,spectral,spectral,spectral,TON,,unknown,1.0,none,0.0,0,0.0,0.0,0.5585,0.5585,0.0,B,0.2943,deficit,-10.759,0.0,,,,,0.5379,B
FJD,0.6756923076923077,0.3520060836472946,5.1481,0.5,0.0003705991805126,0.2244,spectral,spectral,spectral,FJI,6.08,moderate,1.0,improvement,0.15,0,0.0,0.15,0.7379,0.7754,0.0375,S,,,,,0.4538,volatile_deteriorating,0.3327,-0.0181,0.7708,S
JPY,0.2957565366480926,-0.4105834274674635,-5.6998,0.4903308981521272,-0.016156751776855,-0.5061,granger,granger,granger,JPN,7.83,strong,1.2,none,0.0,0,0.0,0.2,0.1476,0.1976,0.05,D,0.5162,balanced,3.02,56.0,0.6262,stable_reformer,0.1326,-0.2335,0.2118,D
SRD,0.4552599758162031,-0.0876089933547474,-0.5267,0.4966686856450636,-0.0058990295420907,-0.0745,granger,granger,granger,SUR,5.5,moderate,1.0,improvement,0.15,3,-0.333,0.1334,0.3121,0.3454,0.0333,D,,,,,0.4468,volatile_deteriorating,0.3468,-0.4763,0.3401,D
THB,0.6624095359727543,0.3276758952983154,7.0362,0.4982935153583617,-0.0004815003642754,0.0796,spectral,spectral,spectral,THA,7.1,good,1.1,improvement,0.15,2,1.0,0.3,0.7316,0.8066,0.075,S,0.6068,surplus_moderate,3.141,88.0,0.6293,volatile_improving,0.2551,-0.2687,0.8302,S
MWK,0.539000467071462,0.0773611862006514,2.0328,0.5145131086142322,0.0310628981689274,-0.2339,spectral,spectral,spectral,MWI,5.14,weak,0.9,none,0.0,2,-1.0,-0.15,0.4999,0.4624,-0.0375,C,,,,,0.5467,volatile_improving,0.338,-0.3472,0.4671,C
LAK,0.5255292652552926,0.0457954596848193,0.0671,0.486284289276808,-0.0205951568857922,0.4094,spectral,spectral,granger,LAO,5.65,moderate,1.0,improvement,0.15,3,-0.333,0.1334,0.3802,0.4136,0.0334,D,0.3178,deficit,-3.574,0.0,0.4921,volatile_improving,0.4659,-1.102,0.3946,D
HNL,0.4735221674876847,-0.0517140190735831,-0.6233,0.4833538840937115,-0.0283766358587724,0.0138,granger,granger,granger,HND,6.99,good,1.1,none,0.0,0,0.0,0.1,0.3156,0.3406,0.025,D,0.312,deficit,-5.615,0.0,0.6021,volatile_improving,0.2768,-0.1453,0.332,D
AUD,0.8220050977060323,0.6431349901140421,11.681,0.5106655290102389,0.0263720899327066,0.1786,spectral,spectral,spectral,AUS,8.03,strong,1.2,improvement,0.15,0,0.0,0.35,0.8109,0.8984,0.0875,S,0.4708,balanced,-3.31,48.0,0.5337,volatile_improving,0.1761,-0.2666,0.8988,S
CVE,0.7303030303030303,0.4609553408204739,6.8813,0.4957472660996355,-0.008623790441644,-0.2933,spectral,spectral,spectral,CPV,7.39,good,1.1,improvement,0.15,2,1.0,0.3,0.7652,0.8402,0.075,S,0.2976,deficit,-8.299,0.0,0.5511,volatile_improving,0.2842,-0.5885,0.8251,S
NOK,0.8085197934595525,0.6164918208391654,9.5939,0.4898663216903838,-0.019478970453239,-0.4595,spectral,spectral,spectral,NOR,7.35,good,1.1,none,0.0,2,0.0,0.1,0.8042,0.8292,0.025,S,0.6578,surplus_moderate,12.166,96.0,0.5858,volatile_improving,0.18,-0.3111,0.8536,S
NIO,0.5242152466367713,0.0539789957124022,0.9752,0.4941599281221923,-0.016708742902384,0.3162,spectral,spectral,spectral,NIC,6.43,moderate,1.0,none,0.0,0,0.0,0.0,0.4328,0.4328,0.0,C,0.3093,deficit,-8.202,0.0,0.2797,volatile_improving,0.749,-0.1659,0.3917,D
