iso3,country,mean_trade_balance,surplus_years_pct,mean_current_account,current_account_trend,trade_volatility,mean_gdp_growth,mean_inflation,data_years,n_ca,n_surp,n_trend,n_vol,trade_strength_score,trade_grade
SGP,Singapore,27.279,100.0,18.668,-0.0528,6.42,,,25,0.36214278862504684,1.0,0.7976832465452148,0.8777904123526243,0.6922,surplus_moderate
KWT,Kuwait,25.063,95.8,27.627,-0.3571,14.759,,,24,0.4402692874521465,0.958,0.7820098789086846,0.7114329602808865,0.6911,surplus_moderate
BRN,Brunei Darussalam,24.596,100.0,24.787,-1.3779,11.153,,,25,0.41550321348530167,1.0,0.7294322460353024,0.7833702395914377,0.6904,surplus_moderate
ARE,United Arab Emirates,18.393,100.0,13.804,1.3497,8.727,,,23,0.31972652673253515,1.0,0.8699208348141394,0.8317673110299839,0.6851,surplus_moderate
BMU,Bermuda,26.341,100.0,13.51,-0.1091,1.355,,,15,0.3171627148500519,1.0,0.7947834417540987,0.9788337622439005,0.6837,surplus_moderate
MAC,"Macao SAR, China",37.471,92.0,27.306,-0.2407,15.993,,,25,0.4374700234580066,0.92,0.7880052124377418,0.6868154886588067,0.6773,surplus_moderate
GAB,Gabon,28.755,100.0,12.818,-0.5813,7.149,,,25,0.3111281644327784,1.0,0.7704621660460157,0.8632473517266144,0.6649,surplus_moderate
NLD,Netherlands,9.105,100.0,6.386,0.2273,1.291,,,25,0.25503823916702273,1.0,0.8121101616782813,0.9801105192810262,0.6624,surplus_moderate
CHE,Switzerland,8.627,100.0,8.129,-0.1809,2.522,,,25,0.27023798104174473,1.0,0.7910852892851441,0.9555528956450615,0.6619,surplus_moderate
DNK,Denmark,6.213,100.0,5.945,0.3885,1.675,,,25,0.2511925213432979,1.0,0.8204129775278005,0.972449977058272,0.6618,surplus_moderate
DEU,Germany,4.94,100.0,5.52,0.2311,1.703,,,25,0.24748633069685103,1.0,0.8123058856251062,0.9718913958545295,0.6586,surplus_moderate
QAT,Qatar,29.788,100.0,15.042,-1.059,12.014,,,23,0.33052244207442033,1.0,0.7458576056780547,0.7661938675763561,0.658,surplus_moderate
NOR,Norway,12.292,96.0,12.166,-0.0813,6.121,,,25,0.3054424319586999,0.96,0.796215316944028,0.8837552616354459,0.6578,surplus_moderate
SWE,Sweden,4.204,100.0,5.252,-0.0701,1.555,,,25,0.24514925047744454,1.0,0.7967921875241436,0.9748438965028827,0.6549,surplus_moderate
LUX,Luxembourg,29.559,100.0,6.502,-0.101,4.369,,,25,0.2560498112022882,1.0,0.7952006427986463,0.918706485526762,0.6533,surplus_moderate
RUS,Russian Federation,9.011,100.0,6.043,-0.3162,3.686,,,25,0.25204712530412565,1.0,0.7841164866521418,0.9323318770323379,0.6509,surplus_moderate
MYS,Malaysia,13.056,100.0,7.545,-0.5146,6.42,,,25,0.2651452390710978,1.0,0.7738976363758107,0.8777904123526243,0.6486,surplus_moderate
HKG,"Hong Kong SAR, China",4.884,96.0,7.64,-0.0575,3.859,,,25,0.26597368168618596,0.96,0.7974411669267736,0.9288806431663574,0.6468,surplus_moderate
CHN,China,3.183,100.0,3.083,-0.1349,1.994,,,25,0.22623459750769578,1.0,0.7934545791677612,0.9660861412013486,0.6458,surplus_moderate
BHR,Bahrain,16.477,100.0,3.964,-0.204,5.316,,,25,0.2339173127065656,1.0,0.7898954937136559,0.8998144712430427,0.6415,surplus_moderate
SAU,Saudi Arabia,15.12,96.0,10.669,-0.7199,10.227,,,25,0.29238792043462714,0.96,0.7633233926170867,0.8018433179723503,0.6378,surplus_moderate
KOR,"Korea, Rep.",2.651,96.0,2.953,0.1528,1.898,,,25,0.22510093919231203,0.96,0.8082729421944774,0.9680012767570372,0.6365,surplus_moderate
AUT,Austria,2.87,96.0,2.103,-0.112,1.141,,,25,0.21768855789941835,0.96,0.7946340734788901,0.9831029185867896,0.6323,surplus_moderate
IRL,Ireland,20.079,100.0,0.701,0.6199,10.584,,,25,0.20546248899043365,1.0,0.8323315357634007,0.7947214076246334,0.6281,surplus_moderate
OMN,Oman,15.568,96.0,2.069,-0.7728,7.441,,,25,0.21739206264770258,0.96,0.760598709252077,0.8574221477447284,0.6128,surplus_moderate
AGO,Angola,12.637,91.3,3.791,0.1158,8.123,,,23,0.23240867510224725,0.9129999999999999,0.8063672090280246,0.8438167055678576,0.6125,surplus_moderate
PRY,Paraguay,4.809,92.0,0.367,-0.1023,4.731,,,25,0.20254985916475543,0.92,0.7951336846063116,0.9114848285355198,0.6072,surplus_moderate
THA,Thailand,5.306,88.0,3.141,-0.0237,4.15,,,25,0.22674038352532852,0.88,0.7991820799274791,0.9230753885131765,0.6068,surplus_moderate
IRQ,Iraq,8.897,84.0,7.652,0.1131,9.06,,,25,0.2660783270691444,0.84,0.8062281420131753,0.8251241845711892,0.6022,surplus_moderate
KAZ,Kazakhstan,8.942,92.0,-1.21,-0.0687,5.296,,,25,0.18879771175429264,0.92,0.796864296346658,0.9002134578171445,0.6009,surplus_moderate
AZE,Azerbaijan,13.843,84.0,8.725,0.7203,17.469,,,25,0.27543536839535027,0.84,0.8375027684637216,0.6573702794900952,0.5954,surplus_moderate
VEN,"Venezuela, RB",12.542,88.0,5.337,-1.0473,9.873,,,25,0.24589048860673393,0.88,0.7464602294090682,0.8089053803339518,0.5925,surplus_moderate
LBY,Libya,17.594,84.0,11.538,-0.8706,17.571,,,25,0.29996599025053844,0.84,0.7555613929364258,0.655335447962176,0.5886,surplus_moderate
CZE,Czechia,3.502,84.0,-1.742,0.2347,2.951,,,25,0.18415843310979915,0.84,0.8124913083115719,0.9469946336305783,0.5829,surplus_moderate
IRN,"Iran, Islamic Rep.",1.26,68.0,11.389,0.0,3.89,,,25,0.29866664341213706,0.68,0.8004027792800449,0.9282622139764997,0.5764,surplus_moderate
IDN,Indonesia,2.778,80.0,0.226,-0.2204,3.011,,,25,0.20132027591499305,0.8,0.7890507903642011,0.945797673908273,0.5729,surplus_moderate
COG,"Congo, Rep.",12.452,84.0,2.138,-0.5251,19.015,,,25,0.21799377359971395,0.84,0.7733568202069523,0.6265286173120275,0.5565,surplus_moderate
BEL,Belgium,1.559,72.0,0.921,-0.1443,2.19,,,25,0.20738098767800614,0.72,0.7929704199308786,0.9621760727751512,0.5538,surplus_moderate
ECU,Ecuador,1.652,72.0,0.605,0.0697,2.902,,,25,0.20462532592676566,0.72,0.8039927685152278,0.9479721507371277,0.5534,surplus_moderate
DJI,Djibouti,7.736,75.0,3.212,0.5073,16.198,,,12,0.22735953537449966,0.75,0.8265319261811683,0.6827258762742634,0.5495,balanced
ARG,Argentina,2.824,72.0,0.03,-0.2039,4.051,,,25,0.19961106799333758,0.72,0.7899006443438354,0.9250503720549803,0.5463,balanced
PER,Peru,2.171,72.0,-1.486,0.0047,3.093,,,25,0.18639086794624715,0.72,0.8006448588984862,0.9441618289544557,0.5451,balanced
SVN,Slovenia,3.263,68.0,1.518,0.362,4.154,,,25,0.2125870954801915,0.68,0.8190480605302058,0.9229955911983562,0.5451,balanced
ITA,Italy,1.044,68.0,0.158,0.1383,1.653,,,25,0.20072728541156157,0.68,0.8075261008184351,0.972888862289784,0.5431,balanced
FIN,Finland,2.132,68.0,1.591,-0.414,3.572,,,25,0.21322368822652238,0.68,0.7790791703364907,0.934606100504718,0.5386,balanced
CIV,Cote d'Ivoire,1.148,68.0,-1.083,-0.4776,2.537,,,25,0.18990520872393676,0.68,0.7758033695422635,0.9552536557144852,0.5306,balanced
MLT,Malta,5.893,64.0,2.115,0.7833,9.894,,,25,0.21779320328237686,0.64,0.8407476654768712,0.8084864444311449,0.5281,balanced
CHL,Chile,2.892,68.0,-1.936,-0.288,4.628,,,25,0.18246666608530343,0.68,0.7855689643627898,0.913539609392144,0.5255,balanced
ZAF,South Africa,0.849,64.0,-2.038,0.0452,2.087,,,25,0.18157718033015618,0.64,0.8027308641212252,0.9642308536317753,0.5216,balanced
JPN,Japan,-0.002,56.0,3.02,0.0264,1.489,,,25,0.22568520924716365,0.56,0.80176254564746,0.9761605521974186,0.5162,balanced
DZA,Algeria,5.937,68.0,1.97,-1.3081,11.512,,,25,0.21652873823829497,0.68,0.733027385900665,0.7762084305863108,0.5148,balanced
NZL,New Zealand,0.3,64.0,-4.014,-0.0446,2.142,,,25,0.1643455739363233,0.64,0.7981055982199422,0.9631336405529954,0.5137,balanced
ISR,Israel,0.539,56.0,1.783,0.195,1.887,,,25,0.21489801435385836,0.56,0.8104465081302697,0.9682207193727931,0.5129,balanced
URY,Uruguay,1.473,60.0,-1.423,-0.0193,3.576,,,25,0.18694025620677926,0.6,0.7994087076553816,0.9345263031898976,0.5081,balanced
HUN,Hungary,1.767,60.0,-2.85,0.3731,4.184,,,25,0.1744961760832977,0.6,0.8196197804801418,0.9223971113372035,0.506,balanced
ZMB,Zambia,1.024,60.0,-1.786,0.6443,8.155,,,25,0.18377473337228464,0.6,0.8335882895272237,0.8431783270492947,0.5045,balanced
ESP,Spain,0.035,56.0,-1.677,0.4382,3.345,,,25,0.18472526226749103,0.56,0.822972840727063,0.9391345981207733,0.5004,balanced
BRA,Brazil,0.186,56.0,-2.096,-0.054,1.731,,,25,0.18107139431252342,0.56,0.7976214389830596,0.971332814650787,0.4971,balanced
ISL,Iceland,0.82,56.0,-3.492,0.636,6.81,,,25,0.168897648095018,0.56,0.8331607872223167,0.8700101741576396,0.4892,balanced
VNM,Viet Nam,-1.498,52.0,-0.017,0.2676,6.735,,,25,0.19920120691008344,0.52,0.8141858656406611,0.8715063738105213,0.4857,balanced
CYP,Cyprus,-0.337,56.0,-5.567,-0.0898,4.122,,,25,0.1508027172917775,0.56,0.7957775133787619,0.923633969716919,0.4798,balanced
BWA,Botswana,0.133,52.0,3.276,-0.5885,11.067,,,25,0.22791764408361165,0.52,0.7700913206730844,0.7850858818600754,0.4797,balanced
EST,Estonia,-0.781,52.0,-3.774,0.4648,4.994,,,25,0.16643848159549327,0.52,0.8243429083548373,0.9062381550860814,0.4781,balanced
BLZ,Belize,0.067,56.0,-6.89,0.3326,4.951,,,25,0.13926556382060293,0.56,0.8175337752574027,0.9070959762204002,0.4779,balanced
CAN,Canada,0.553,48.0,-0.875,-0.1633,2.771,,,25,0.19171906202855074,0.48,0.7919918001967541,0.9505855127974944,0.4741,balanced
AUS,Australia,0.017,48.0,-3.31,0.2469,2.32,,,25,0.17048476973655524,0.48,0.8131196851934834,0.9595826600434896,0.4708,balanced
POL,Poland,-0.131,48.0,-2.806,0.2401,3.409,,,25,0.17487987582081221,0.48,0.8127694423412705,0.9378578410836476,0.4703,balanced
SWZ,Eswatini,-0.426,41.7,1.307,0.2789,2.306,,,12,0.21074708082983787,0.41700000000000004,0.8147678868509562,0.9598619506453607,0.4683,balanced
BOL,Bolivia,-0.145,44.0,1.461,-0.1829,5.983,,,25,0.2120900299111386,0.44,0.790982276681552,0.8865082689967483,0.4637,balanced
LTU,Lithuania,-1.806,44.0,-2.645,0.4851,5.674,,,25,0.17628386804217208,0.44,0.8253884862812965,0.8926726115666208,0.4569,balanced
SVK,Slovak Republic,-0.449,44.0,-3.574,0.0868,3.131,,,25,0.16818257131146827,0.44,0.8048735262759399,0.9434037544636623,0.4546,balanced
BGR,Bulgaria,-4.066,44.0,-4.026,0.5276,7.729,,,25,0.16424092855336478,0.44,0.8275775041076275,0.8516767410776627,0.4484,balanced
SYR,Syrian Arab Republic,-10.587,43.5,2.518,-0.7746,14.43,,,23,0.22130754406006645,0.435,0.7605059979088442,0.7179962894248608,0.4429,balanced
CRI,Costa Rica,-0.705,40.0,-3.663,0.1422,3.271,,,25,0.1674064513878594,0.4,0.8077269753954397,0.9406108484449498,0.4426,balanced
UZB,Uzbekistan,-3.746,40.0,1.156,-0.9105,8.26,,,25,0.20943029309427674,0.4,0.7535062914947643,0.8410836475352604,0.4386,balanced
FRO,Faroe Islands,-4.048,32.0,4.155,-0.6601,6.728,,,25,0.23558291838532175,0.32,0.766403469464489,0.8716460191114569,0.4307,balanced
PRT,Portugal,-3.815,36.0,-4.309,0.5844,4.424,,,25,0.16177304160526015,0.36,0.8305030620496417,0.9176092724479821,0.4306,balanced
BLR,Belarus,-1.928,36.0,-3.826,0.2216,4.673,,,25,0.16598501826933976,0.36,0.811816575758044,0.9126418896004149,0.428,balanced
ABW,Aruba,-5.0,32.0,0.809,-0.176,6.575,,,25,0.20640429743706015,0.32,0.7913376701639445,0.8746982664033356,0.4243,balanced
TLS,Timor-Leste,-80.535,8.0,91.813,-15.5399,50.421,,,25,1.0,0.08,0.0,0.0,0.424,balanced
TUR,Turkiye,-1.537,32.0,-3.236,0.0175,2.605,,,25,0.17113008293146598,0.32,0.8013041395614754,0.9538971013625391,0.4201,balanced
NRU,Nauru,-21.382,35.3,19.383,-3.6749,30.571,,,17,0.3683779093596574,0.353,0.6111222708098335,0.3959941747960182,0.4151,balanced
FRA,France,-0.298,24.0,-0.287,-0.0697,1.257,,,25,0.19684668579351722,0.24,0.796812790044862,0.9807887964569992,0.4082,balanced
PAN,Panama,-1.171,28.0,-5.37,0.0959,3.319,,,25,0.15252064566201284,0.28,0.8053422336222837,0.9396532806671055,0.4,balanced
UKR,Ukraine,-4.718,24.0,-0.947,-0.3261,6.956,,,25,0.19109118973079975,0.24,0.7836065742643612,0.8670975721666966,0.3919,balanced
YEM,"Yemen, Rep.",-7.329,26.3,-3.743,-0.4957,11.012,,,19,0.1667088155014694,0.263,0.7748711054797555,0.7861830949388553,0.3792,balanced
MDV,Maldives,-0.127,36.4,-14.672,-0.5639,9.628,,,11,0.07140303297201607,0.364,0.7713583756972665,0.8137929658666986,0.3734,balanced
SDN,Sudan,-2.899,24.0,-8.986,-0.4423,3.624,,,25,0.12098750359718502,0.24,0.7776215419956632,0.9335687354120534,0.3693,balanced
PHL,Philippines,-5.284,12.0,0.745,-0.1327,5.426,,,25,0.20584618872794816,0.12,0.7935678930317125,0.8976200450854829,0.3668,balanced
HRV,Croatia,-4.339,12.0,-2.519,0.3524,3.708,,,25,0.17738264456323635,0.12,0.8185536000329641,0.9318929918008259,0.3639,balanced
CMR,Cameroon,-2.185,12.0,-2.895,-0.0791,1.596,,,25,0.17410375589720334,0.12,0.7963286308079793,0.974025974025974,0.3623,balanced
BHS,"Bahamas, The",-4.518,20.0,-10.089,-0.188,4.267,,,25,0.11136884881358296,0.2,0.7907195945423923,0.9207413170546811,0.3548,balanced
KIR,Kiribati,-74.765,0.0,7.35,0.8111,10.146,,,24,0.2634447515980222,0.0,0.8421795406668006,0.8034592135974624,0.3542,balanced
MNG,Mongolia,-7.296,24.0,-10.881,-0.3981,8.92,,,25,0.104462253538322,0.24,0.7798981205350475,0.8279170905899017,0.3526,balanced
MHL,Marshall Islands,-54.487,0.0,4.588,2.0382,12.6,,,25,0.2393588726204076,0.0,0.9053829236007026,0.7545035609551739,0.3523,balanced
GBR,United Kingdom,-1.364,8.0,-3.006,-0.045,0.695,,,25,0.17313578610483724,0.08,0.7980849956992239,0.9920003191892592,0.3521,balanced
MEX,Mexico,-1.476,4.0,-1.116,0.0285,0.811,,,25,0.18961743392080088,0.04,0.8018707088812316,0.9896861970594689,0.3472,deficit
COD,"Congo, Dem. Rep.",-4.188,8.0,-3.663,-0.0821,2.576,,,25,0.1674064513878594,0.08,0.7961741119025912,0.9544756318949867,0.3456,deficit
MUS,Mauritius,-6.895,12.0,-5.268,-0.3529,5.424,,,25,0.1534101314171601,0.12,0.7822262053762278,0.897659943742893,0.3436,deficit
PYF,French Polynesia,-20.266,0.0,1.589,0.4112,3.989,,,21,0.2132062473293626,0.0,0.8215821705785703,0.9262872304346959,0.3422,deficit
ZWE,Zimbabwe,-9.953,8.0,-5.489,1.2721,8.401,,,25,0.15148291228100771,0.08,0.865923945794768,0.838270792187843,0.3416,deficit
FSM,"Micronesia, Fed. Sts.",-52.402,0.0,-6.29,3.8752,8.667,,,25,0.1444978329685279,0.0,1.0,0.8329642707522892,0.3411,deficit
LVA,Latvia,-6.615,8.0,-4.638,0.435,6.645,,,25,0.15890401402248133,0.08,0.8228080205613157,0.8733018133939793,0.3395,deficit
BFA,Burkina Faso,-8.328,8.0,-5.121,0.2919,5.485,,,25,0.1546920373584017,0.08,0.8154374687743046,0.8964430346918826,0.3386,deficit
